run_id,cdc_name,operation_type,cdc_api_request_utc,resource_event_utc,e2e_latency_seconds,primary_pod_name,initial_pod_count,final_pod_count,status,error_details
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-55,CREATE,2025-05-08T17:49:51.068192+00:00,2025-05-08T17:50:11+00:00,19.931808,sleevecdc-e2e-06f26bf3-55-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-64,CREATE,2025-05-08T17:49:51.069762+00:00,2025-05-08T17:50:11+00:00,19.930238,sleevecdc-e2e-06f26bf3-64-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-62,CREATE,2025-05-08T17:49:51.069550+00:00,2025-05-08T17:50:11+00:00,19.93045,sleevecdc-e2e-06f26bf3-62-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-66,CREATE,2025-05-08T17:49:51.070104+00:00,2025-05-08T17:50:11+00:00,19.929896,sleevecdc-e2e-06f26bf3-66-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-60,CREATE,2025-05-08T17:49:51.069444+00:00,2025-05-08T17:50:13+00:00,21.930556,sleevecdc-e2e-06f26bf3-60-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-65,CREATE,2025-05-08T17:49:51.069811+00:00,2025-05-08T17:50:14+00:00,22.930189,sleevecdc-e2e-06f26bf3-65-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-67,CREATE,2025-05-08T17:49:51.070411+00:00,2025-05-08T17:50:16+00:00,24.929589,sleevecdc-e2e-06f26bf3-67-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-68,CREATE,2025-05-08T17:49:51.070493+00:00,2025-05-08T17:50:16+00:00,24.929507,sleevecdc-e2e-06f26bf3-68-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-69,CREATE,2025-05-08T17:49:51.070617+00:00,2025-05-08T17:50:17+00:00,25.929383,sleevecdc-e2e-06f26bf3-69-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-74,CREATE,2025-05-08T17:49:51.071173+00:00,2025-05-08T17:50:17+00:00,25.928827,sleevecdc-e2e-06f26bf3-74-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-71,CREATE,2025-05-08T17:49:51.070725+00:00,2025-05-08T17:50:18+00:00,26.929275,sleevecdc-e2e-06f26bf3-71-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-73,CREATE,2025-05-08T17:49:51.071058+00:00,2025-05-08T17:50:18+00:00,26.928942,sleevecdc-e2e-06f26bf3-73-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-70,CREATE,2025-05-08T17:49:51.070677+00:00,2025-05-08T17:50:18+00:00,26.929323,sleevecdc-e2e-06f26bf3-70-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-72,CREATE,2025-05-08T17:49:51.070975+00:00,2025-05-08T17:50:20+00:00,28.929025,sleevecdc-e2e-06f26bf3-72-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-75,CREATE,2025-05-08T17:49:51.071226+00:00,2025-05-08T17:50:22+00:00,30.928774,sleevecdc-e2e-06f26bf3-75-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-79,CREATE,2025-05-08T17:49:51.071467+00:00,2025-05-08T17:50:23+00:00,31.928533,sleevecdc-e2e-06f26bf3-79-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-76,CREATE,2025-05-08T17:49:51.071288+00:00,2025-05-08T17:50:24+00:00,32.928712,sleevecdc-e2e-06f26bf3-76-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-80,CREATE,2025-05-08T17:49:51.071521+00:00,2025-05-08T17:50:26+00:00,34.928479,sleevecdc-e2e-06f26bf3-80-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-84,CREATE,2025-05-08T17:49:51.072663+00:00,2025-05-08T17:50:29+00:00,37.927337,sleevecdc-e2e-06f26bf3-84-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-87,CREATE,2025-05-08T17:49:51.072849+00:00,2025-05-08T17:50:39+00:00,47.927151,sleevecdc-e2e-06f26bf3-87-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-78,CREATE,2025-05-08T17:49:51.071379+00:00,2025-05-08T17:50:40+00:00,48.928621,sleevecdc-e2e-06f26bf3-78-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-86,CREATE,2025-05-08T17:49:51.072802+00:00,2025-05-08T17:50:41+00:00,49.927198,sleevecdc-e2e-06f26bf3-86-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-81,CREATE,2025-05-08T17:49:51.071563+00:00,2025-05-08T17:50:42+00:00,50.928437,sleevecdc-e2e-06f26bf3-81-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-83,CREATE,2025-05-08T17:49:51.072304+00:00,2025-05-08T17:50:46+00:00,54.927696,sleevecdc-e2e-06f26bf3-83-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-85,CREATE,2025-05-08T17:49:51.072726+00:00,2025-05-08T17:50:49+00:00,57.927274,sleevecdc-e2e-06f26bf3-85-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-77,CREATE,2025-05-08T17:49:51.071333+00:00,2025-05-08T17:50:54+00:00,62.928667,sleevecdc-e2e-06f26bf3-77-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-88,CREATE,2025-05-08T17:49:51.072895+00:00,2025-05-08T17:50:56+00:00,64.927105,sleevecdc-e2e-06f26bf3-88-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-82,CREATE,2025-05-08T17:49:51.072025+00:00,2025-05-08T17:50:59+00:00,67.927975,sleevecdc-e2e-06f26bf3-82-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-89,CREATE,2025-05-08T17:49:51.072941+00:00,2025-05-08T17:51:03+00:00,71.927059,sleevecdc-e2e-06f26bf3-89-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-90,CREATE,2025-05-08T17:49:51.072986+00:00,2025-05-08T17:51:07+00:00,75.927014,sleevecdc-e2e-06f26bf3-90-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-92,CREATE,2025-05-08T17:49:51.073068+00:00,2025-05-08T17:51:08+00:00,76.926932,sleevecdc-e2e-06f26bf3-92-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-91,CREATE,2025-05-08T17:49:51.073027+00:00,2025-05-08T17:51:09+00:00,77.926973,sleevecdc-e2e-06f26bf3-91-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-93,CREATE,2025-05-08T17:49:51.073110+00:00,2025-05-08T17:51:11+00:00,79.92689,sleevecdc-e2e-06f26bf3-93-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-97,CREATE,2025-05-08T17:49:51.074080+00:00,2025-05-08T17:51:15+00:00,83.92592,sleevecdc-e2e-06f26bf3-97-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-96,CREATE,2025-05-08T17:49:51.073232+00:00,2025-05-08T17:51:18+00:00,86.926768,sleevecdc-e2e-06f26bf3-96-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-95,CREATE,2025-05-08T17:49:51.073194+00:00,2025-05-08T17:51:22+00:00,90.926806,sleevecdc-e2e-06f26bf3-95-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-98,CREATE,2025-05-08T17:49:51.074185+00:00,2025-05-08T17:51:24+00:00,92.925815,sleevecdc-e2e-06f26bf3-98-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-99,CREATE,2025-05-08T17:49:51.074236+00:00,2025-05-08T17:51:27+00:00,95.925764,sleevecdc-e2e-06f26bf3-99-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-94,CREATE,2025-05-08T17:49:51.073153+00:00,2025-05-08T17:51:27+00:00,95.926847,sleevecdc-e2e-06f26bf3-94-sleeve-sts-0,,1,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-11,DELETE,2025-05-08T17:51:32.374845+00:00,2025-05-08T17:52:18.267747+00:00,45.892902,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-0,DELETE,2025-05-08T17:51:32.383266+00:00,2025-05-08T17:52:25.997272+00:00,53.614006,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-9,DELETE,2025-05-08T17:51:32.366211+00:00,2025-05-08T17:52:26.531201+00:00,54.16499,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-10,DELETE,2025-05-08T17:51:34.939702+00:00,2025-05-08T17:52:31.462900+00:00,56.523198,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-8,DELETE,2025-05-08T17:51:32.365653+00:00,2025-05-08T17:52:35.745776+00:00,63.380123,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-3,DELETE,2025-05-08T17:51:32.374076+00:00,2025-05-08T17:52:35.255801+00:00,62.881725,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-14,DELETE,2025-05-08T17:51:35.566953+00:00,2025-05-08T17:52:36.089165+00:00,60.522212,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-18,DELETE,2025-05-08T17:51:35.489818+00:00,2025-05-08T17:52:37.652844+00:00,62.163026,,1,0,SUCCESS,
06f26bf3-d520-4d43-932a-c190c3ef5aed,e2e-06f26bf3-5,DELETE,2025-05-08T17:51:33.980051+00:00,2025-05-08T17:52:37.437980+00:00,63.457929,,1,0,SUCCESS,
